,transaction_id,tx_datetime,customer_id,terminal_id,tx_amount,tx_time_seconds,tx_time_days,TX_FRAUD,TX_FRAUD_SCENARIO
430859,430859,2023-12-18 22:05:38,3581,3205,1986.91,1548338,17,0.2,1
1925775,1925775,2024-02-19 10:30:49,4869,1466,1003.31,6949849,80,0.2,1
1164875,1164875,2024-01-18 13:31:37,2890,9082,750.28,4195897,48,0.1,1
1733081,1733081,2024-02-11 09:37:03,3578,4695,977.99,6255423,72,0.1,1
32837,32837,2023-12-02 10:15:17,58,7648,231.86,123317,1,0.0,0
1959774,1959774,2024-02-20 16:42:58,842,2605,190.13,7058578,81,0.0,0
2108632,2108632,2024-02-27 02:16:34,2325,8316,71.24,7611394,88,0.0,0
552367,552367,2023-12-24 02:12:20,1382,920,2172.53,1995140,23,0.4,1
1918849,1918849,2024-02-19 05:21:04,2088,6025,313.64,6931264,80,0.0,0
1302944,1302944,2024-01-24 10:14:59,3355,1606,64.48,4702499,54,0.0,0
82131,82131,2023-12-04 11:00:42,2438,5637,1421.51,298842,3,0.2,1
1163357,1163357,2024-01-18 12:38:54,884,649,805.38,4192734,48,0.1,1
661512,661512,2023-12-28 13:18:53,3576,6341,924.92,2380733,27,0.1,1
1605927,1605927,2024-02-06 02:37:32,3834,8481,1046.99,5798252,67,0.2,1
1687959,1687959,2024-02-09 11:17:21,3206,6977,1715.26,6088641,70,0.2,1
2139276,2139276,2024-02-28 09:06:18,2422,6104,1160.06,7722378,89,0.2,1
2045177,2045177,2024-02-24 10:08:36,3153,6472,1021.08,7380516,85,0.2,1
1879829,1879829,2024-02-17 11:33:52,4112,6393,776.18,6780832,78,0.1,1
1651570,1651570,2024-02-07 19:40:49,4439,6134,237.74,5946049,68,0.0,0
1440084,1440084,2024-01-30 05:23:49,556,4471,48.01,5203429,60,0.0,0
2021244,2021244,2024-02-23 10:10:45,4522,8252,2308.0,7294245,84,0.4,1
912780,912780,2024-01-08 04:33:45,805,5627,2155.06,3299625,38,0.4,1
1244332,1244332,2024-01-21 19:39:30,3496,1035,553.77,4477170,51,0.1,1
462448,462448,2023-12-20 09:00:58,1884,7930,1149.44,1674058,19,0.2,1
469570,469570,2023-12-20 13:11:13,1126,5524,532.6,1689073,19,0.1,1
2102659,2102659,2024-02-26 16:04:17,4697,4529,93.78,7574657,87,0.0,0
1548861,1548861,2024-02-03 13:53:39,662,1295,1644.8,5579619,64,0.2,1
1104280,1104280,2024-01-16 05:12:08,1988,2688,151.36,3993128,46,0.0,0
1198754,1198754,2024-01-20 02:17:03,1574,1381,935.52,4328223,50,0.1,1
43159,43159,2023-12-02 16:25:42,2400,2068,492.39,145542,1,0.0,0
2154089,2154089,2024-02-28 18:59:44,1201,8737,427.57,7757984,89,0.0,0
25219,25219,2023-12-02 03:44:23,4934,3254,2049.91,99863,1,0.4,1
803155,803155,2024-01-03 12:03:37,857,1864,834.67,2894617,33,0.1,1
383022,383022,2023-12-16 21:15:32,1905,4889,968.44,1372532,15,0.1,1
1364912,1364912,2024-01-26 21:27:40,2464,2481,946.73,4915660,56,0.1,1
807406,807406,2024-01-03 14:34:27,1074,1118,1098.96,2903667,33,0.2,1
1837445,1837445,2024-02-15 14:46:28,4182,3626,170.65,6619588,76,0.0,0
1403381,1403381,2024-01-28 12:59:15,1210,2891,935.19,5057955,58,0.1,1
529970,529970,2023-12-23 05:04:27,4440,8862,1660.26,1919067,22,0.2,1
1137077,1137077,2024-01-17 11:28:41,1239,3209,1442.65,4102121,47,0.2,1
1413823,1413823,2024-01-29 00:53:44,2129,8541,136.78,5100824,59,0.0,0
1953565,1953565,2024-02-20 12:39:41,681,3787,958.03,7043981,81,0.1,1
824412,824412,2024-01-04 10:34:45,2752,6013,3749.69,2975685,34,0.6000000000000001,1
652288,652288,2023-12-28 07:44:27,369,6732,1771.38,2360667,27,0.2,1
202262,202262,2023-12-09 11:10:01,3066,9684,78.53,731401,8,0.0,0
2111373,2111373,2024-02-27 06:15:36,1211,3887,132.98,7625736,88,0.0,0
1197973,1197973,2024-01-19 23:15:49,2606,8806,507.35,4317349,49,0.1,1
754808,754808,2024-01-01 11:46:09,4858,6927,137.83,2720769,31,0.0,0
1920415,1920415,2024-02-19 06:51:56,2168,4438,2010.32,6936716,80,0.4,1
673029,673029,2023-12-29 04:32:08,1948,3004,1284.83,2435528,28,0.2,1
267529,267529,2023-12-12 06:45:54,4386,7242,236.83,974754,11,0.0,0
288276,288276,2023-12-13 02:23:05,1437,4183,3342.7,1045385,12,0.6000000000000001,1
130257,130257,2023-12-06 11:06:40,3727,3948,138.02,472000,5,0.0,0
820746,820746,2024-01-04 08:17:41,3795,41,1182.89,2967461,34,0.2,1
1268225,1268225,2024-01-22 19:38:38,2678,464,666.74,4563518,52,0.1,1
987156,987156,2024-01-11 07:28:14,4310,7112,330.02,3569294,41,0.0,0
787674,787674,2024-01-02 17:42:30,59,5530,836.99,2828550,32,0.1,1
1563726,1563726,2024-02-04 08:33:53,36,4524,347.08,5646833,65,0.0,0
285846,285846,2023-12-12 19:29:32,662,3587,1611.04,1020572,11,0.2,1
787220,787220,2024-01-02 17:17:57,1072,3242,1048.26,2827077,32,0.2,1
62035,62035,2023-12-03 13:07:08,2241,4762,619.28,220028,2,0.1,1
710397,710397,2023-12-30 13:49:55,1093,7848,59.03,2555395,29,0.0,0
243249,243249,2023-12-11 06:36:27,3018,2827,656.71,887787,10,0.1,1
1443980,1443980,2024-01-30 08:37:00,3119,3250,926.99,5215020,60,0.1,1
1489947,1489947,2024-02-01 07:12:08,4732,420,2215.43,5382728,62,0.4,1
1884978,1884978,2024-02-17 14:33:20,2126,5080,815.63,6791600,78,0.1,1
355321,355321,2023-12-15 16:46:32,3135,1810,581.13,1269992,14,0.1,1
1607292,1607292,2024-02-06 04:55:38,835,4834,362.74,5806538,67,0.0,0
130231,130231,2023-12-06 11:05:46,2249,263,1904.94,471946,5,0.2,1
654092,654092,2023-12-28 08:57:58,2174,335,435.88,2365078,27,0.0,0
1804730,1804730,2024-02-14 09:34:37,3968,4603,286.52,6514477,75,0.0,0
55178,55178,2023-12-03 09:03:16,435,4340,259.12,205396,2,0.0,0
423368,423368,2023-12-18 14:17:09,758,2221,542.96,1520229,17,0.1,1
1877409,1877409,2024-02-17 10:10:09,1510,9999,1600.1,6775809,78,0.2,1
505915,505915,2023-12-22 05:00:45,1468,2538,117.96,1832445,21,0.0,0
1284458,1284458,2024-01-23 13:25:09,3063,9649,2190.14,4627509,53,0.4,1
2030019,2030019,2024-02-23 15:20:31,4334,4070,559.99,7312831,84,0.1,1
